id,body_part,equipment,gif_url,name,target
1747,"upper arms","ez barbell",http://d205bpvrqc9yn1.cloudfront.net/1747.gif,"ez bar french press on exercise ball",triceps
1748,"upper arms","ez barbell",http://d205bpvrqc9yn1.cloudfront.net/1748.gif,"ez bar lying close grip triceps extension behind head",triceps
1749,"upper arms","ez barbell",http://d205bpvrqc9yn1.cloudfront.net/1749.gif,"ez bar standing french press",triceps
1750,"upper arms","medicine ball",http://d205bpvrqc9yn1.cloudfront.net/1750.gif,"medicine ball supine chest throw",triceps
1751,"upper arms",barbell,http://d205bpvrqc9yn1.cloudfront.net/1751.gif,"barbell pin presses",triceps
1752,"upper arms","smith machine",http://d205bpvrqc9yn1.cloudfront.net/1752.gif,"smith machine incline tricep extension",triceps
1753,"upper arms","body weight",http://d205bpvrqc9yn1.cloudfront.net/1753.gif,"three bench dip",triceps
1754,"upper arms",weighted,http://d205bpvrqc9yn1.cloudfront.net/1754.gif,"weighted three bench dips",triceps
1755,"upper arms",weighted,http://d205bpvrqc9yn1.cloudfront.net/1755.gif,"weighted tricep dips",triceps
1756,"upper legs",barbell,http://d205bpvrqc9yn1.cloudfront.net/1756.gif,"barbell single leg deadlift",glutes
1757,"upper legs",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1757.gif,"dumbbell single leg deadlift",glutes
1758,waist,assisted,http://d205bpvrqc9yn1.cloudfront.net/1758.gif,"assisted sit-up",abs
1759,"upper legs","body weight",http://d205bpvrqc9yn1.cloudfront.net/1759.gif,"single leg squat (pistol) male",glutes
1760,"upper legs",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1760.gif,"dumbbell goblet squat",quads
1761,waist,"body weight",http://d205bpvrqc9yn1.cloudfront.net/1761.gif,"hanging oblique knee raise",abs
1763,back,"body weight",http://d205bpvrqc9yn1.cloudfront.net/1763.gif,"shoulder grip pull-up",lats
1764,waist,"body weight",http://d205bpvrqc9yn1.cloudfront.net/1764.gif,"hanging leg hip raise",abs
1765,shoulders,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1765.gif,"dumbbell upright row (back pov)",delts
1766,"upper legs","body weight",http://d205bpvrqc9yn1.cloudfront.net/1766.gif,"self assisted inverse leg curl",hamstrings
1767,"upper arms",weighted,http://d205bpvrqc9yn1.cloudfront.net/1767.gif,"weighted triceps dip on high parallel bars",triceps
1769,"upper arms","body weight",http://d205bpvrqc9yn1.cloudfront.net/1769.gif,"bodyweight side lying biceps curl",biceps
1770,"upper arms","body weight",http://d205bpvrqc9yn1.cloudfront.net/1770.gif,"biceps leg concentration curl",biceps
1771,"upper arms","body weight",http://d205bpvrqc9yn1.cloudfront.net/1771.gif,"bodyweight kneeling triceps extension",triceps
1772,back,"body weight",http://d205bpvrqc9yn1.cloudfront.net/1772.gif,"elbow lift - reverse push-up","upper back"
1773,back,"body weight",http://d205bpvrqc9yn1.cloudfront.net/1773.gif,"one arm towel row","upper back"
1774,"upper legs","body weight",http://d205bpvrqc9yn1.cloudfront.net/1774.gif,"side bridge hip abduction",abductors
1775,"upper legs","body weight",http://d205bpvrqc9yn1.cloudfront.net/1775.gif,"side plank hip adduction",adductors
2133,"upper legs",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2133.gif,"farmers walk",quads
2135,waist,weighted,http://d205bpvrqc9yn1.cloudfront.net/2135.gif,"weighted front plank",abs
2136,shoulders,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2136.gif,"dumbbell cuban press v. 2",delts
2137,shoulders,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2137.gif,"dumbbell arnold press",delts
2138,cardio,"stationary bike",http://d205bpvrqc9yn1.cloudfront.net/2138.gif,"stationary bike run v. 3","cardiovascular system"
2139,chest,"upper body ergometer",http://d205bpvrqc9yn1.cloudfront.net/2139.gif,"hands bike",pectorals
2141,cardio,"elliptical machine",http://d205bpvrqc9yn1.cloudfront.net/2141.gif,"walk elliptical cross trainer","cardiovascular system"
2142,"upper arms","skierg machine",http://d205bpvrqc9yn1.cloudfront.net/2142.gif,"ski ergometer",triceps
2143,shoulders,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2143.gif,"dumbbell standing around world",delts
2144,chest,cable,http://d205bpvrqc9yn1.cloudfront.net/2144.gif,"cable seated chest press",pectorals
2186,"upper arms","ez barbell",http://d205bpvrqc9yn1.cloudfront.net/2186.gif,"ez barbell decline triceps extension",triceps
2187,"upper arms",barbell,http://d205bpvrqc9yn1.cloudfront.net/2187.gif,"barbell reverse close-grip bench press",triceps
2188,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2188.gif,"dumbbell seated triceps extension",triceps
2189,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2189.gif,"dumbbells seated triceps extension",triceps
2202,"upper legs",roller,http://d205bpvrqc9yn1.cloudfront.net/2202.gif,"roller hip stretch",glutes
2203,chest,roller,http://d205bpvrqc9yn1.cloudfront.net/2203.gif,"roller seated shoulder flexor depresor retractor",pectorals
2204,waist,roller,http://d205bpvrqc9yn1.cloudfront.net/2204.gif,"roller body saw",abs
2205,"upper legs",roller,http://d205bpvrqc9yn1.cloudfront.net/2205.gif,"roller hip lat stretch",glutes
2206,waist,roller,http://d205bpvrqc9yn1.cloudfront.net/2206.gif,"roller reverse crunch",abs
2207,back,roller,http://d205bpvrqc9yn1.cloudfront.net/2207.gif,"roller side lat stretch",lats
2208,back,roller,http://d205bpvrqc9yn1.cloudfront.net/2208.gif,"roller back stretch",spine
